package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
8ef53bb5-20ba-47f4-9bea-4a781605e262,8a60a711-5f48-49c5-91a9-7b22127a0f05,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Maximum Required Inlet Pressure at Gas Train","unit":null,"value":"14","category":"Heating Section - Gas Fired (Natural Gas)"}",14,,Heating Section - Gas Fired (Natural Gas),Maximum Required Inlet Pressure at Gas Train
8ef53bb5-20ba-47f4-9bea-4a781605e262,eed16ba9-590c-41ea-b5ac-33d2185ab1e0,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,4f532e46-5ae4-48c2-b78f-3c967451cb9e,Fan Speed,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,"{"kind":"flat","type":"Fan Speed","unit":"RPM","value":"1197","category":"Supply Fan"}",1197,RPM,Supply Fan,Fan Speed
8ef53bb5-20ba-47f4-9bea-4a781605e262,58d73cd2-8b7c-4b15-a8c0-210cc6fa1596,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"2.33","category":"Supply Fan"}",2.33,,Supply Fan,BHP
8ef53bb5-20ba-47f4-9bea-4a781605e262,410e8e86-aeba-4525-9e68-5de91ddcc4c4,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,4b81bcc0-0527-4eef-8c3c-de502ae5ab58,Motor Power,,,,,"{"kind":"flat","type":"HP","unit":null,"value":"3","category":"Supply Fan"}",3,,Supply Fan,HP
8ef53bb5-20ba-47f4-9bea-4a781605e262,811b1223-3d12-48ee-8393-e8845e315ad5,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"-10","category":"Heating Section - Gas Fired (Natural Gas)"}",-10,°F,Heating Section - Gas Fired (Natural Gas),E.A.T.
8ef53bb5-20ba-47f4-9bea-4a781605e262,b1cb7936-5879-400d-a7d9-7494d12721ee,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,8193f0ae-9cf1-4a8d-9c63-8f9ee1420ca7,Discharge Temperature,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"70","category":"Heating Section - Gas Fired (Natural Gas)"}",70,°F,Heating Section - Gas Fired (Natural Gas),L.A.T.
8ef53bb5-20ba-47f4-9bea-4a781605e262,9e3e5642-fdf7-4811-b074-ebb6f41da51c,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Input Capacity","unit":"MBH","value":"467.7","category":"Heating Section - Gas Fired (Natural Gas)"}",467.7,MBH,Heating Section - Gas Fired (Natural Gas),Input Capacity
8ef53bb5-20ba-47f4-9bea-4a781605e262,beea4904-ba37-4f4b-8df4-ee136c1cb94c,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Output Capacity","unit":"MBH","value":"378.9","category":"Heating Section - Gas Fired (Natural Gas)"}",378.9,MBH,Heating Section - Gas Fired (Natural Gas),Output Capacity
8ef53bb5-20ba-47f4-9bea-4a781605e262,590be539-9f4e-4a97-9007-19801b8036a3,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Minimum Required Inlet Pressure at Gas Train","unit":null,"value":"7","category":"Heating Section - Gas Fired (Natural Gas)"}",7,,Heating Section - Gas Fired (Natural Gas),Minimum Required Inlet Pressure at Gas Train
8ef53bb5-20ba-47f4-9bea-4a781605e262,62a47775-57bc-4f58-9820-1526d4c2f4e6,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,ce1d6df2-55ae-4331-a614-f7446b0f8dcc,Filter Type,828c1e07-635d-480c-b0f7-bf107c53c118,MERV 13,,,"{"kind":"flat","type":"Filter Section Type","unit":null,"value":"MERV 13","category":null}",MERV 13,,,Filter Section Type
8ef53bb5-20ba-47f4-9bea-4a781605e262,aa2bcaf9-28e0-4a7e-ac8b-47105d0b32ff,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,8f849a97-11fb-48e5-86d7-de5a5abacc0c,Length,,,9b4bcff0-c98a-4b1a-9716-ca97df2009c5,inch,"{"kind":"flat","type":"Length","unit":"INCHES","value":"97","category":"Maximum Unit Dimensions"}",97,INCHES,Maximum Unit Dimensions,Length
8ef53bb5-20ba-47f4-9bea-4a781605e262,8f418005-f6a7-4a77-8f55-87834f56a5cc,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,778e1224-58f6-4cb6-af6f-7227bc5c219a,Height,,,9b4bcff0-c98a-4b1a-9716-ca97df2009c5,inch,"{"kind":"flat","type":"Height","unit":"INCHES","value":"69","category":"Maximum Unit Dimensions"}",69,INCHES,Maximum Unit Dimensions,Height
8ef53bb5-20ba-47f4-9bea-4a781605e262,9e1c1386-88ad-4268-b8e0-c8d2f8f18af6,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,cc4503ac-3761-46ad-8235-325191dea98f,Width,,,9b4bcff0-c98a-4b1a-9716-ca97df2009c5,inch,"{"kind":"flat","type":"Width","unit":"INCHES","value":"65","category":"Maximum Unit Dimensions"}",65,INCHES,Maximum Unit Dimensions,Width
8ef53bb5-20ba-47f4-9bea-4a781605e262,70ae54ec-1dd1-485f-929f-5cd8f83e17b4,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Unit Arrangement","unit":null,"value":"DOWNFLOW","category":null}",DOWNFLOW,,,Unit Arrangement
8ef53bb5-20ba-47f4-9bea-4a781605e262,59071cf3-3902-4674-9cb6-ece3dcc98c36,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Maximum Unit Operating Weight","unit":"LBS.","value":"4400","category":null}",4400,LBS.,,Maximum Unit Operating Weight
8ef53bb5-20ba-47f4-9bea-4a781605e262,b2bc8b02-15b7-4a13-87a7-77d9d273a908,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,"{"kind":"flat","type":"Volts","unit":null,"value":"480","category":"Total Unit Electrical"}",480,,Total Unit Electrical,Volts
8ef53bb5-20ba-47f4-9bea-4a781605e262,114cd957-8855-47ed-9caa-11341ecbc888,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,dda99289-4130-4af0-b6c3-1e1b68254bc8,3Ø,,,"{"kind":"flat","type":"Phase","unit":null,"value":"3","category":"Total Unit Electrical"}",3,,Total Unit Electrical,Phase
584bc79c-037c-4aeb-9b29-71d05c690773,9dc778c0-8499-488c-89aa-7509c74c0b93,c03e72d2-0f92-4212-a731-f618c210d0f9,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"E.S.P.","unit":"IN. W.G.","value":"1.50","category":"Supply Fan"}",1.50,IN. W.G.,Supply Fan,E.S.P.
584bc79c-037c-4aeb-9b29-71d05c690773,bf3093b7-f5cd-4abd-a95c-73d701e36044,c03e72d2-0f92-4212-a731-f618c210d0f9,4f532e46-5ae4-48c2-b78f-3c967451cb9e,Fan Speed,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,"{"kind":"flat","type":"Fan Speed","unit":"RPM","value":"1787","category":"Supply Fan"}",1787,RPM,Supply Fan,Fan Speed
584bc79c-037c-4aeb-9b29-71d05c690773,e5edac10-02da-4e89-8f3e-42fc68407520,c03e72d2-0f92-4212-a731-f618c210d0f9,cb8c6b90-9701-476a-87e6-2e3c919b1050,Control Type,,,,,"{"kind":"flat","type":"Control Type","unit":null,"value":"DAT-DSP VAV","category":"Supply Fan"}",DAT-DSP VAV,,Supply Fan,Control Type
584bc79c-037c-4aeb-9b29-71d05c690773,f975d525-21a8-48f9-856c-cdcdc1837a8a,c03e72d2-0f92-4212-a731-f618c210d0f9,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Airflow","unit":"CFM","value":"4560","category":"Relief Fan"}",4560,CFM,Relief Fan,Airflow
584bc79c-037c-4aeb-9b29-71d05c690773,d62c9e5a-91db-41b5-bdcb-af3780302364,c03e72d2-0f92-4212-a731-f618c210d0f9,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"E.S.P.","unit":"IN. W.G.","value":"0.50","category":"Relief Fan"}",0.50,IN. W.G.,Relief Fan,E.S.P.
584bc79c-037c-4aeb-9b29-71d05c690773,814cfae8-f2be-456a-abee-8e761c12deba,c03e72d2-0f92-4212-a731-f618c210d0f9,6b991434-66c8-4d7d-929d-ff34a7df9384,Refrigerant Type,,,,,"{"kind":"flat","type":"Refrigerant Type","unit":null,"value":"R-454B","category":"Cooling Section - DX"}",R-454B,,Cooling Section - DX,Refrigerant Type
584bc79c-037c-4aeb-9b29-71d05c690773,678c40fd-c09c-4d01-9a2c-9fadd110bcc0,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"Area Served","unit":null,"value":"OFFICE","category":null}",OFFICE,,,Area Served
584bc79c-037c-4aeb-9b29-71d05c690773,e80dab3a-cd62-4333-9765-43c9c6e55478,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"MAX-MIN","unit":"CFM","value":"5000","category":"Airflow"}",5000,CFM,Airflow,MAX-MIN
584bc79c-037c-4aeb-9b29-71d05c690773,e3186d42-d3a3-49ab-81de-2eb4ab057b49,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"MIN-MIN","unit":"CFM","value":"1920","category":"Airflow"}",1920,CFM,Airflow,MIN-MIN
584bc79c-037c-4aeb-9b29-71d05c690773,67a67e88-34e2-4b04-b6c4-6a919b9b6679,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Minimum Outside Airflow","unit":"CFM","value":"1775","category":null}",1775,CFM,,Minimum Outside Airflow
584bc79c-037c-4aeb-9b29-71d05c690773,191a5081-bbf8-43b0-a99b-1f7be5c8e7cf,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"Fan Suction or Discharge S.P. at Cooling Coil Drain Pan","unit":"IN. W.G.","value":"0.37","category":"Supply Fan"}",0.37,IN. W.G.,Supply Fan,Fan Suction or Discharge S.P. at Cooling Coil Drain Pan
584bc79c-037c-4aeb-9b29-71d05c690773,ac530f6f-3efb-48ba-8402-f4f953fb295d,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"T.S.P.","unit":"IN. W.G.","value":"3.25","category":"Supply Fan"}",3.25,IN. W.G.,Supply Fan,T.S.P.
584bc79c-037c-4aeb-9b29-71d05c690773,618e7b52-a043-4335-8e3e-a601fc155b88,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"Fan Position","unit":null,"value":"DRAWTHRU","category":"Supply Fan"}",DRAWTHRU,,Supply Fan,Fan Position
584bc79c-037c-4aeb-9b29-71d05c690773,e1a45400-9a54-43c1-819d-cd1dd7071279,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"3.96","category":"Motor"}",3.96,,Motor,BHP
584bc79c-037c-4aeb-9b29-71d05c690773,418495e8-e4b9-4211-8e9d-15ef4f49c1ff,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"HP","unit":null,"value":"5","category":"Motor"}",5,,Motor,HP
584bc79c-037c-4aeb-9b29-71d05c690773,bdcd25dc-6e17-4513-b35c-a2f3caf09559,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,"{"kind":"flat","type":"Fan Speed","unit":"RPM","value":"1033","category":"Relief Fan"}",1033,RPM,Relief Fan,Fan Speed
584bc79c-037c-4aeb-9b29-71d05c690773,5a449e48-5b2c-4e44-bdef-516eaa920d51,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"1.92","category":"Motor"}",1.92,,Motor,BHP
584bc79c-037c-4aeb-9b29-71d05c690773,8b7657d7-25c6-455b-a548-163c1b32d6fe,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"HP","unit":null,"value":"3","category":"Motor"}",3,,Motor,HP
584bc79c-037c-4aeb-9b29-71d05c690773,b5a8764f-dc52-4230-82d6-bc6bfec98abd,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.D.B.","unit":"°F","value":"81.3","category":"Mixed Air"}",81.3,°F,Mixed Air,E.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,5bddbf39-a14d-4fae-8c2d-7d958695025b,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.W.B.","unit":"°F","value":"67.7","category":"Mixed Air"}",67.7,°F,Mixed Air,E.W.B.
584bc79c-037c-4aeb-9b29-71d05c690773,b9a17cb7-a852-4bd0-a795-82c0fd666c1d,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.D.B.","unit":"°F","value":"55.5","category":"Coil Leaving Air"}",55.5,°F,Coil Leaving Air,L.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,bd158cbb-8d0f-4f09-98fa-c3ffae7e9693,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.W.B.","unit":"°F","value":"55.2","category":"Coil Leaving Air"}",55.2,°F,Coil Leaving Air,L.W.B.
584bc79c-037c-4aeb-9b29-71d05c690773,df2a8089-8e7f-4e2f-bced-fc8a97b56ec6,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.D.B.","unit":"°F","value":"57.5","category":"Unit Leaving Air"}",57.5,°F,Unit Leaving Air,L.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,7c372076-7bf1-4d6a-a660-e39c11116f52,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.W.B.","unit":"°F","value":"56.0","category":"Unit Leaving Air"}",56.0,°F,Unit Leaving Air,L.W.B.
584bc79c-037c-4aeb-9b29-71d05c690773,e3633f18-1d3e-4e44-afc5-7b93634eb44b,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total","unit":"MBH","value":"177.3","category":"Net Unit Capacity"}",177.3,MBH,Net Unit Capacity,Total
584bc79c-037c-4aeb-9b29-71d05c690773,bf62eff4-feb0-483e-9517-b580033bdea0,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Sensible","unit":"MBH","value":"126.7","category":"Net Unit Capacity"}",126.7,MBH,Net Unit Capacity,Sensible
584bc79c-037c-4aeb-9b29-71d05c690773,3979365d-070b-4e23-9de0-b89e0d3720fa,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"Minimum Number of Circuits","unit":null,"value":"6","category":"Cooling Section - DX"}",6,,Cooling Section - DX,Minimum Number of Circuits
584bc79c-037c-4aeb-9b29-71d05c690773,c3a52f14-57e3-4e0b-aba4-bdb7f7ea729e,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.D.B.","unit":"°F","value":"55.5","category":"Hot Gas Reheat"}",55.5,°F,Hot Gas Reheat,E.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,de13b354-210c-4185-9e2f-4f3c4cbc5f44,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.D.B.","unit":"°F","value":"74.8","category":"Hot Gas Reheat"}",74.8,°F,Hot Gas Reheat,L.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,683cd7b3-2e34-4e2f-a76c-aeb1e43b4f72,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"Min. Face Area","unit":"SQ. FT.","value":"14.6","category":"Integral Air-Cooled Condensing Section"}",14.6,SQ. FT.,Integral Air-Cooled Condensing Section,Min. Face Area
584bc79c-037c-4aeb-9b29-71d05c690773,3490dc68-fb2c-4d03-96eb-b382b15f4ed6,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,,,"{"kind":"flat","type":"Max Face Vel.","unit":"F.P.M.","value":"342.9","category":"Integral Air-Cooled Condensing Section"}",342.9,F.P.M.,Integral Air-Cooled Condensing Section,Max Face Vel.
584bc79c-037c-4aeb-9b29-71d05c690773,b8e6d960-e52a-42e4-b246-095bffa6ee71,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"Max A.P.D.","unit":"IN W.G.","value":"0.37","category":"Integral Air-Cooled Condensing Section"}",0.37,IN W.G.,Integral Air-Cooled Condensing Section,Max A.P.D.
584bc79c-037c-4aeb-9b29-71d05c690773,ead7968c-10e4-4f57-a821-e3a2ddc5c4d0,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Design Ambient Temp.","unit":"°F","value":"95","category":"Integral Air-Cooled Condensing Section"}",95,°F,Integral Air-Cooled Condensing Section,Design Ambient Temp.
584bc79c-037c-4aeb-9b29-71d05c690773,b947139e-9e81-4132-899e-9e9d93801115,c03e72d2-0f92-4212-a731-f618c210d0f9,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Min. Ambient Temp.","unit":"°F","value":"45","category":"Integral Air-Cooled Condensing Section"}",45,°F,Integral Air-Cooled Condensing Section,Min. Ambient Temp.
584bc79c-037c-4aeb-9b29-71d05c690773,f7d7a628-a241-491b-9232-45a0c6df84d8,6e5d12c2-fa05-4da2-b401-2421d7349182,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"E.S.P.","unit":"IN. W.G.","value":"1.50","category":"Supply Fan"}",1.50,IN. W.G.,Supply Fan,E.S.P.
584bc79c-037c-4aeb-9b29-71d05c690773,f896f013-7bac-4756-b09a-3adde13b2d33,6e5d12c2-fa05-4da2-b401-2421d7349182,4f532e46-5ae4-48c2-b78f-3c967451cb9e,Fan Speed,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,"{"kind":"flat","type":"Fan Speed","unit":"RPM","value":"1838","category":"Supply Fan"}",1838,RPM,Supply Fan,Fan Speed
584bc79c-037c-4aeb-9b29-71d05c690773,241416ba-ae2a-4b02-a7e9-4bb8bd9e20b1,6e5d12c2-fa05-4da2-b401-2421d7349182,cb8c6b90-9701-476a-87e6-2e3c919b1050,Control Type,,,,,"{"kind":"flat","type":"Control Type","unit":null,"value":"DAT-DSP VAV","category":"Supply Fan"}",DAT-DSP VAV,,Supply Fan,Control Type
584bc79c-037c-4aeb-9b29-71d05c690773,4ab6fc03-49cd-4964-b1b6-ac3acf2f593e,6e5d12c2-fa05-4da2-b401-2421d7349182,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Airflow","unit":"CFM","value":"2330","category":"Relief Fan"}",2330,CFM,Relief Fan,Airflow
584bc79c-037c-4aeb-9b29-71d05c690773,8fe661cf-4f43-4443-873e-54e072f7c367,6e5d12c2-fa05-4da2-b401-2421d7349182,2da9ea27-8c84-4868-809b-002ec08f6315,Weight,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total","unit":"MBH","value":"103.3","category":"Net Unit Capacity"}",103.3,MBH,Net Unit Capacity,Total
584bc79c-037c-4aeb-9b29-71d05c690773,46b8b71e-3d53-477e-8380-4402306ff218,6e5d12c2-fa05-4da2-b401-2421d7349182,6b991434-66c8-4d7d-929d-ff34a7df9384,Refrigerant Type,,,,,"{"kind":"flat","type":"Refrigerant Type","unit":null,"value":"R-454B","category":"Cooling Section - DX"}",R-454B,,Cooling Section - DX,Refrigerant Type
584bc79c-037c-4aeb-9b29-71d05c690773,707dc244-b0e7-4666-bb0c-bc772dd7e19e,6e5d12c2-fa05-4da2-b401-2421d7349182,,,,,,,"{"kind":"flat","type":"Minimum Number of Circuits","unit":null,"value":"6","category":"Cooling Section - DX"}",6,,Cooling Section - DX,Minimum Number of Circuits
584bc79c-037c-4aeb-9b29-71d05c690773,a2b10738-32a3-44c6-b20f-f1241de83202,6e5d12c2-fa05-4da2-b401-2421d7349182,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.D.B.","unit":"°F","value":"56.1","category":"Hot Gas Reheat"}",56.1,°F,Hot Gas Reheat,E.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,f651fd73-2130-46ef-96c1-e90e9d32724a,6e5d12c2-fa05-4da2-b401-2421d7349182,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.D.B.","unit":"°F","value":"75.0","category":"Hot Gas Reheat"}",75.0,°F,Hot Gas Reheat,L.D.B.
584bc79c-037c-4aeb-9b29-71d05c690773,bb8f31c9-33a9-437c-a69c-2046b30421a9,6e5d12c2-fa05-4da2-b401-2421d7349182,,,,,,,"{"kind":"flat","type":"Min. Face Area","unit":"SQ. FT.","value":"8.5","category":"Integral Air-Cooled Condensing Section"}",8.5,SQ. FT.,Integral Air-Cooled Condensing Section,Min. Face Area
